release_date,version_name,version_code,release_type,details
09/09/2026,v0.99.95,2700,Beta,"feat: Registro y Edición de perfil divididos en pasos con ViewFlipper. ui: Encabezado minimalista en AuthActivity, corrección de ripples y bordes en selectores M3. ux: Mejoras en navegación Onboarding (animaciones fluidas, bloqueo de pestañas, espaciado). refactor: Limpieza de nombres de variables internas."
04/09/2026,v0.99.90,2690,Beta,"refactor: Rebranding total a PreuSync y migración de licencia a AGPLv3. feat: Implementación de arquitectura Multi-Tenancy (Provincia/Municipio/Escuela) en toda la App y API."
02/09/2026,v0.99.80,2680,Beta,"refactor: Estandarización arquitectónica final (BaseViewModel/Fragment). feat: Persistencia Room y unificación del modelo Event. logic: Sistema de 4 estados. fix: Exclusión de ExtendedFAB en ButtonAnimator."
24/08/2026,v0.99.50,2650,Beta,"refactor: Plan Maestro de Profesionalización. fix: Solución a colisiones en attrs.xml (colorBackground) y corrección de error tipográfico en import de CardView."
14/08/2026,v0.99.40,2620,Beta,"feat: Migración a Retrofit 2 con interceptores JWT. Creación del Módulo de Transferencia Pesada (FileDownloader/Uploader) con soporte para pausa y reanudación."
04/08/2026,v0.99.35,2610,Beta,"feat: Unificación estética MD3 Expressive. Implementación de ButtonAnimator (100dp -> 14dp) y selección real de sonidos (activada tras creación de ajustes)."
25/07/2026,v0.99.30,2605,Beta,"feat: Implementación de AppLogger (buffer 500). fix: Refuerzo de validación de sesión (expiración JWT) y límite de 3 reintentos en fetchAuthorData."
15/07/2026,v0.99.25,2596,Beta,"refactor: Migración oficial a Android Studio. fix: Prioridad absoluta a datos en caché en estados de error para robustez offline extrema."
05/07/2026,v0.99.24,2595,Beta,"fix: Solución a errores de redibujo (requestLayout) tras carga asíncrona y corrección de visibilidad de setSessionId en PreferencesManager."
25/06/2026,v0.99.23,2594,Beta,"sec: Implementación de SensitiveDataCipher (AES-GCM + Random Salt). feat: Sistema de caché múltiple indexada para Efemérides (límite 5)."
15/06/2026,v0.99.22,2593,Beta,"feat: Gestión de paginación mediante PaginationState. logic: Unificación de guardado automático de caché vía setAdapterData() en PaginatedFeedFragment."
05/06/2026,v0.99.21,2592,Beta,"feat: Implementación de SmartSwipeRefreshLayout (intercepción de gestos condicional) y CustomSwipeRefreshDrawable sincronizado mediante OnPreDrawListener."
27/05/2026,v0.99.20,2591,Beta,"fix: Estabilización de scroll (scrollToPositionWithOffset) y visibilidad del FAB. logic: Desactivación de SwipeRefresh durante paginación."
17/05/2026,v0.99.19,2520,Beta,"feat: Implementación de footer con loading indicator (VIEW_TYPE_FOOTER). Gestión segura de inserción mediante flag isFooterAdding."
07/05/2026,v0.99.15,2480,Beta,"feat: Soporte para firstName y lastName en perfiles. logic: Implementación de trigger SQL para sincronización de full_name en Supabase."
27/04/2026,v0.99.12,2381,Beta,"fix: Manejo robusto de JSONArray/JSONObject en NewsViewModel y corrección de persistencia de sesión en flujos híbridos."
17/04/2026,v0.99.10,2305,Beta,"feat: Home dinámico: Lógica de turno actual y efeméride destacada. logic: Implementación de PagerSnapHelper y auto-scroll con pausa al tacto."
07/04/2026,v0.99.8,2217,Beta,"feat: Migración a Node.js (Render) + Supabase (JSONB). logic: Implementación de autenticación JWT y Supabase Storage."
28/03/2026,v0.99.5,2134,Beta,"fix: Lógica de votos atómica (Rollback en server) para resolver duplicidad persistente. feat: Reconstrucción de Horario con ViewFlipper."
18/03/2026,v0.99.0,2067,Beta,"refactor: Reemplazo de lógica de scroll manual por PagerSnapHelper en carruseles. fix: Redirección de intents desde notificaciones con PendingIntent extras."
09/03/2026,v0.98.0,1978,Beta,"feat: Centralización de PreferencesManager. sec: Migración de caché al directorio privado del paquete (/cache/) para cumplir con Scoped Storage."
27/02/2026,v0.97.0,1893,Beta,"sec: Auditoría de seguridad. Implementación de safeParseJson y protección de adminToken. perf: ProgressListener para tracking de transferencia."
17/02/2026,v0.95.0,1812,Beta,"refactor: Arquitectura de Ajustes basada en RecyclerView (NavigationItem, SectionGroup) y unificación de diálogos de selección."
07/02/2026,v0.90.0,1721,Beta,"feat: Nacimiento del módulo de Ajustes: Creación de pantallas iniciales (Appearance, About) y persistencia síncrona mediante commit()."
